año,pax_feb,crecimiento_pax_yoy,visitantes_carnaval,gasto_prom_cop,ratio_visitantes_pax,ocup_hotel_feb,trm_feb_usdcop,tur_int_colombia_miles,trends_ene_co
2013,10609,0.0826,254000.0,650000.0,23.94,64.0,1840,2175,36.0
2014,11311,0.0662,270000.0,680000.0,23.87,65.7,2030,2288,23.0
2015,12057,0.066,288000.0,720000.0,23.89,67.35,2415,2290,33.0
2016,15618,0.2953,250000.0,770000.0,16.01,67.5,3150,2569,45.0
2017,14918,-0.0448,350000.0,800000.0,23.46,70.13,2930,2666,30.0
2018,8534,-0.4279,380000.0,850000.0,44.53,70.0,2890,3032,31.0
2019,12396,0.4525,400000.0,900000.0,32.27,83.0,3150,3164,20.0
2020,17436,0.4066,392000.0,780000.0,22.48,80.0,3470,565,21.0
2021,11194,-0.358,0.0,0.0,0.0,0.0,3640,1018,5.0
2022,19338,0.7275,490000.0,950000.0,25.34,72.0,3830,2948,13.0
2023,20550,0.0627,668691.0,1050000.0,32.54,94.0,4700,3726,22.0
2024,18212,-0.1138,750000.0,1150000.0,41.18,89.5,3950,3950,27.0
2025,24859,0.365,800000.0,1280000.0,32.18,100.0,4180,4100,17.0
